Uce [V] ; Ube ; Ic ; Ube ; Ic ; Ube ; Ic 
0;0,5396;0,063;0,5535;0,0042;0,5745;-0,0017
0,05;0,5769;0,4616;0,5931;0,8596;0,6137;1,8526
0,1;0,6023;1,2781;0,6189;2,5846;0,6371;5,2897
0,15;0,6102;1,7559;0,6267;3,5965;0,6463;7,4101
0,2;0,6121;1,8544;0,6289;3,8244;0,6483;7,9413
0,3;0,6129;1,8726;0,6293;3,8686;0,6487;8,0435
0,4;0,613;1,88;0,6299;3,881;0,6486;8,0529
0,5;0,6127;1,8742;0,6294;3,8738;0,6492;8,0694
0,6;0,6131;1,8815;0,6297;3,8754;0,6488;8,0565
0,9;0,6134;1,8761;0,6296;3,8792;0,6488;8,0674
1;0,6133;1,8841;0,6296;3,8816;0,6486;8,0719
2;0,6161;1,9372;0,5646;3,8594;0,5172;6,7958
3;0,6113;1,8886;0,5219;3,6646;0,4385;6,6922
4;0,6108;1,8797;0,4827;3,0519;0,4419;5,9869
5;0,6105;1,8867;0,4296;1,9082;0,3955;6,2748
6;0,61;1,8946;0,3842;3,4296;0,3486;5,2648
7;0,5958;0,0646;0,3318;2,4746;0,2747;5,6706
8;0,5778;0,0026;0,2366;2,7024;0,2709;3,479
9;0,2686;0,1236;0,1679;2,8536;0,4303;4,8372
10;0,525;-0,0016;0,0967;3,151;0,415;4,9419
